record_id,service_name,category_id,category_label,student_need,intended_users,access_method,recommended_next_step,limitations,official_source_url,source_name,source_publisher,source_license_or_terms,source_retrieved_at,source_record_id,last_verified_date,review_status,actionable_summary,actionable_next_step,eligibility_or_requirements,access_steps,costs_or_coverage,contact_or_location,source_evidence_excerpt,extraction_status,content_last_checked_at,source_content_hash
candidate-7d49b32ec05e6a7bd14d,Off-Campus Work,work_career,Work and career support,Work and career support: Off-Campus Work.,"McGill newcomer, international, exchange, and current students as applicable.",Off-Campus Work,Review the official McGill University source page for Off-Campus Work.,The navigator does not determine work authorization or job eligibility; confirm requirements with official McGill or government sources.,https://www.mcgill.ca/internationalstudents/work,Work | International Student Services - McGill University,McGill University,https://www.mcgill.ca/copyright/,2026-06-12T18:02:01+00:00,7d49b32ec05e6a7bd14d,2026-06-19,curated_for_directory_milestone,"As a full-time International McGill student, you can work both on campus and off-campus, but it's important to ensure that you have the right documents to do so legally.","Learn how to apply for a PGWP, meet language requirements, and understand new rules and regulations to qualify for the application process.","Find out who’s eligible to work on campus, how many hours you can work, and what documents you need—including your study permit and SIN. | Understand eligibility, work hour limits, and required documents for working off-campus—including new rules for summer breaks and program transitions.","Learn how to apply for a PGWP, meet language requirements, and understand new rules and regulations to qualify for the application process. | Learn about open work permits for spouses of full-time international students at McGill. Discover eligibility rules, application steps, and how long the permit lasts.",,,"As a full-time International McGill student, you can work both on campus and off-campus, but it's important to ensure that you have the right documents to do so legally.",enriched,2026-06-21T01:44:41+00:00,5cde4aa5da84915f86abbe7a7796392a4eb0bbb077d24ab1335b125c718292c0
candidate-861a9765bdbe41051240,newcomers to Canada,tax,Tax filing and residency information,Tax filing and residency information: newcomers to Canada.,Students and newcomer students who need official federal tax information.,Taxes for International students studying in Canada,Review the official Canada Revenue Agency source page for newcomers to Canada.,"The navigator does not determine tax residency, filing obligations, credits, or benefits; confirm with official CRA guidance or a qualified tax professional.",https://www.canada.ca/en/revenue-agency/services/tax/international-non-residents/individuals-leaving-entering-canada-non-residents/newcomers-canada-immigrants.html,Taxes for International students studying in Canada,Canada Revenue Agency,https://www.canada.ca/en/transparency/terms.html,2026-06-12T18:41:26+00:00,861a9765bdbe41051240,2026-06-19,curated_for_directory_milestone,,,,,,,,not_targeted,,
candidate-8e472ab2f1317d039232,Campus Life & Engagement,language_integration,Language and integration,Language and integration: Campus Life & Engagement.,"McGill newcomer, international, exchange, and current students as applicable.",Campus Life & Engagement,Review the official McGill University source page for Campus Life & Engagement.,"Program availability, eligibility, and language options may change; confirm details with the official provider.",https://www.mcgill.ca/cle/,Welcome to Campus Life & Engagement!,McGill University,https://www.mcgill.ca/copyright/,2026-06-12T18:02:02+00:00,8e472ab2f1317d039232,2026-06-19,curated_for_directory_milestone,"Campus Life & Engagement fosters, in collaboration with partners across McGill and the greater Montreal communities, a vibrant, engaging and inclusive McGill community, where we help every student find inspiration, a sense of belonging, and opportunities to lead, connect, and grow.",Contact: Direct: mailto:cle@mcgill.ca,Get support navigating resources available to you,,,Direct: mailto:cle@mcgill.ca,"Campus Life & Engagement fosters, in collaboration with partners across McGill and the greater Montreal communities, a vibrant, engaging and inclusive McGill community, where we help every student find inspiration, a sense of belonging, and opportunities to lead, connect, and grow.",partial,2026-06-21T01:44:41+00:00,b9d4567aca14f0b8c060b82d0eecfc60cafaf1ac5a49508f54313ef4389c80a8
candidate-9906aa98882bf665ec84,Common deductions and credits for students,tax,Tax filing and residency information,Tax filing and residency information: Common deductions and credits for students.,Students and newcomer students who need official federal tax information.,Students,Review the official Canada Revenue Agency source page for Common deductions and credits for students.,"The navigator does not determine tax residency, filing obligations, credits, or benefits; confirm with official CRA guidance or a qualified tax professional.",https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/students/common-deductions-credits-students.html,Students,Canada Revenue Agency,https://www.canada.ca/en/transparency/terms.html,2026-06-12T18:41:25+00:00,9906aa98882bf665ec84,2026-06-19,curated_for_directory_milestone,,,,,,,,not_targeted,,
candidate-9aab51162e99f3a2ae1d,Full Directory of Services and Funding Opportunities,finances,Financial aid and affordability,Financial aid and affordability: Full Directory of Services and Funding Opportunities.,"McGill newcomer, international, exchange, and current students as applicable.",Full Directory of Services and Funding Opportunities,Review the official McGill University source page for Full Directory of Services and Funding Opportunities.,The navigator does not determine financial-aid eligibility or award amounts; confirm requirements with the official funding office.,https://www.mcgill.ca/studentaid/,Home page,McGill University,https://www.mcgill.ca/copyright/,2026-06-12T18:02:01+00:00,9aab51162e99f3a2ae1d,2026-06-19,curated_for_directory_milestone,"Find all the resources and advice you need to help pay for university, from step-by-step guides on how to apply for funding to information on how to budget effectively. Not sure where to start? These areas are a good bet (or you can click on our full directory drop-down list below ):","Contact: Direct: mailto:scholarships@mcgill.ca, mailto:student.aid@mcgill.ca","Find all the resources and advice you need to help pay for university, from step-by-step guides on how to apply for funding to information on how to budget effectively. Not sure where to start? These areas are a good bet (or you can click on our full directory drop-down list below ): | Find out if you qualify for need-based aid",,"Find all the resources and advice you need to help pay for university, from step-by-step guides on how to apply for funding to information on how to budget effectively. Not sure where to start? These areas are a good bet (or you can click on our full directory drop-down list below ):","Direct: mailto:scholarships@mcgill.ca, mailto:student.aid@mcgill.ca","Find all the resources and advice you need to help pay for university, from step-by-step guides on how to apply for funding to information on how to budget effectively. Not sure where to start? These areas are a good bet (or you can click on our full directory drop-down list below ):",partial,2026-06-21T01:44:42+00:00,24ed13110fe40436ee1bc49ec0b9a95c705c4a2a4be0985ebf62844b95d110b3
candidate-9b4bde95e68a92a9ec8f,Find a Health Professional,health_care,Healthcare access,Healthcare access: Find a Health Professional.,"McGill newcomer, international, exchange, and current students as applicable.",Related Content,Review the official McGill University source page for Find a Health Professional.,"The navigator does not diagnose, triage symptoms, or confirm service availability; for emergencies call 911 or go to an emergency department.",https://www.mcgill.ca/internationalstudents/health/access-healthcare,Access Health & Wellness Care,McGill University,https://www.mcgill.ca/copyright/,2026-06-12T18:02:00+00:00,9b4bde95e68a92a9ec8f,2026-06-19,curated_for_directory_milestone,"If you are experiencing an emergency , a life-or limb-threatening situations or immediate safety concerns, call 911 or Go to the nearest hospital emergency department. You may also consult the Student Wellness Hub’s urgent care page to find an appropriate resource.","Local Wellness Advisors offer a great first step towards accessing care, whether on or off-campus. Contact: Phone: 514-398-7992",Other Physical and Mental Health Telehealth services may be available to you through your Student Union and Student Services fees.,"Local Wellness Advisors offer a great first step towards accessing care, whether on or off-campus. | McGill's Student Wellness Hub provides support for non‑urgent medical and mental health needs, offering integrated care with a focus on awareness, prevention, and early intervention. Students can book appointments for a range of non-urgent physical and mental health services, and the Hub can also he","If you consult a doctor (General practitioner & psychiatrist), you will be covered at 100% and the Hub will bill Medavie Blue Cross directly. Simply present your health insurance card at the time of your appointment; there is nothing to pay upfront. | All other clinical services available at the Hub (e.g. nurses, counselors, LWAs) are made possible by your student services fee. There is no additional fee to pay for these Hub services and your insurance provider will not be billed.","Phone: 514-398-7992 | Direct: tel:514-398-7992, tel:514-329-1999","If you are experiencing an emergency , a life-or limb-threatening situations or immediate safety concerns, call 911 or Go to the nearest hospital emergency department. You may also consult the Student Wellness Hub’s urgent care page to find an appropriate resource.",enriched,2026-06-21T01:44:43+00:00,1c6b98a29b2b18ccfeec8032c0d381b75b057a123eeeb794cede546a835b77b8
candidate-afd6e82280525ece9ab5,Abortion Clinics,mental_health,Mental health and wellbeing,Mental health and wellbeing: Abortion Clinics.,"McGill newcomer, international, exchange, and current students as applicable.",Community Resources | Student Wellness Hub - McGill University,Review the official McGill University source page for Abortion Clinics.,This record is not medical or crisis advice; for urgent safety concerns call 911 or use official urgent-support resources.,https://www.mcgill.ca/wellness-hub/get-support/find-community-resources,Community Resources | Student Wellness Hub - McGill University,McGill University,https://www.mcgill.ca/copyright/,2026-06-12T18:02:01+00:00,afd6e82280525ece9ab5,2026-06-19,curated_for_directory_milestone,Get Support Physical Health Support Mental Health Support Nutritional Support Supporting Someone Else Telehealth Find Community Resources Resources Available 24/7 Gender Affirming Care,"Build Your Wellness Toolkit Visit the Healthy Living Annex Animal Therapy Art Hive Hub Peer Supporters Supporting Student Caregivers Contact: Phone: (514)-244-1290, (514)-337-2473","There are many resources available to students in the broader health and social services community in Montreal and Quebec. Some are at no-cost, but many do have out-of-pocket fees or require you to submit claims to your health insurance. | The information below may be subject to change. Please check with the resource for more details on eligibility, services, and/or costs.",Build Your Wellness Toolkit Visit the Healthy Living Annex Animal Therapy Art Hive Hub Peer Supporters Supporting Student Caregivers | Visit the Healthy Living Annex Animal Therapy Art Hive Hub Peer Supporters Supporting Student Caregivers,Contact Us Online Booking Hub Policies Clinician Transfer Requests Submit Feedback | Online Booking Hub Policies Clinician Transfer Requests Submit Feedback,"Phone: (514)-244-1290, (514)-337-2473 | Direct: tel:514-285-5500, tel:1-514-345-1356, tel:1-514-345-1820",Get Support Physical Health Support Mental Health Support Nutritional Support Supporting Someone Else Telehealth Find Community Resources Resources Available 24/7 Gender Affirming Care,enriched,2026-06-21T01:44:43+00:00,524ae11d7f4875faa08688225fbdfa5ecb39638b3ebe03dae1b388af656eafd4
candidate-b77bf48504430b0263c5,Immigration,immigration_status,Immigration and legal status,Immigration and legal status: Immigration.,"McGill newcomer, international, exchange, and current students as applicable.",Immigration,Review the official McGill University source page for Immigration.,The navigator does not interpret immigration status or determine eligibility; use official sources and qualified advisors for individual decisions.,https://www.mcgill.ca/internationalstudents/,International Student Services,McGill University,https://www.mcgill.ca/copyright/,2026-06-12T18:01:59+00:00,b77bf48504430b0263c5,2026-06-19,curated_for_directory_milestone,Visit our immigration web page for more information.,Visit our work and permits web page for more information.,,Visit our work and permits web page for more information. | Visit our international health insurance (IHI) web page for more information.,"International Student Services offers a wide range of services to undergraduate and graduate students, visiting and exchange students, and all other students who have paid McGill student services fees.",,Visit our immigration web page for more information.,enriched,2026-06-21T01:44:43+00:00,5dd467fe3e67a9c3e2fb815278448845243b0bbd8b3d27343b82026a09ae6cde
candidate-be4c05eb575806d3adf6,Registering to the waiting list to find a family doctor,health_care,Healthcare access,Healthcare access: Registering to the waiting list to find a family doctor.,Newcomer students in Quebec who need official public healthcare access information.,Registering to the waiting list to find a family doctor,Review the official Gouvernement du Québec source page for Registering to the waiting list to find a family doctor.,"The navigator does not diagnose, triage symptoms, or confirm service availability; for emergencies call 911 or go to an emergency department.",https://www.quebec.ca/en/health/finding-a-resource/registering-with-a-family-doctor,Registering with a family doctor or a specialized nurse practitioner in primary care,Gouvernement du Québec,https://www.quebec.ca/en/copyright,2026-06-12T18:41:26+00:00,be4c05eb575806d3adf6,2026-06-19,curated_for_directory_milestone,"Since April 15, 2024, specialized nurse practitioners in primary care who work in SNP clinics can directly care for people who do not have a family doctor and who are registered on the Québec Family Doctor Finder.","To find a family doctor, a specialized nurse practitioner in primary care (SNPPC) or a group of doctors that is accepting new patients, you can register on the waiting list by using the Québec Family Doctor Finder (GAMF) .",,"To find a family doctor, a specialized nurse practitioner in primary care (SNPPC) or a group of doctors that is accepting new patients, you can register on the waiting list by using the Québec Family Doctor Finder (GAMF) . | This service is reserved for people who do not have a family doctor or a SNPPC. Nevertheless, if your doctor or your SNPPC can no longer provide you with medical care , because they leave their place of practice or retire, for example, or if you have a good reason to want to change family doctor or ","Once you have found a family doctor or SNPPC, or have been assigned one, you must register with them by completing the registration form that you will receive at that time. Registering with a doctor or a SNPPC from the public healthcare system is voluntary and free.",,"Since April 15, 2024, specialized nurse practitioners in primary care who work in SNP clinics can directly care for people who do not have a family doctor and who are registered on the Québec Family Doctor Finder.",enriched,2026-06-21T01:44:44+00:00,53321b7fcfd417ab380caacbe3b02ebeeb2c6d6d5f4cbd4788b8fabcf5ed706d
candidate-bf5d5325d104f2c835fd,Getting a medical consultation with a health professional,health_care,Healthcare access,Healthcare access: Getting a medical consultation with a health professional.,Newcomer students in Quebec who need official public healthcare access information.,Registering with a family doctor or a specialized nurse practitioner in primary care,Review the official Gouvernement du Québec source page for Getting a medical consultation with a health professional.,"The navigator does not diagnose, triage symptoms, or confirm service availability; for emergencies call 911 or go to an emergency department.",https://www.quebec.ca/en/health/health-system-and-services/service-organization/primary-care-health-and-social-services/how-get-medical-consultation-with-health-professional,Registering with a family doctor or a specialized nurse practitioner in primary care,Gouvernement du Québec,https://www.quebec.ca/en/copyright,2026-06-12T18:41:26+00:00,bf5d5325d104f2c835fd,2026-06-19,curated_for_directory_milestone,Healthcare access: Getting a medical consultation with a health professional.,,,,,,Healthcare access: Getting a medical consultation with a health professional.,partial,2026-06-21T01:44:45+00:00,47f5eab724397610253977b20374c30f426df0196eeedd88f5acae127663a50f
candidate-c23a08cb50d9647f8f62,How to get a consultation: primary care health and social services,health_care,Healthcare access,Healthcare access: How to get a consultation: primary care health and social services.,Newcomer students in Quebec who need official public healthcare access information.,Registering with a family doctor or a specialized nurse practitioner in primary care,Review the official Gouvernement du Québec source page for How to get a consultation: primary care health and social services.,"The navigator does not diagnose, triage symptoms, or confirm service availability; for emergencies call 911 or go to an emergency department.",https://www.quebec.ca/en/health/health-system-and-services/service-organization/primary-care-health-and-social-services,Registering with a family doctor or a specialized nurse practitioner in primary care,Gouvernement du Québec,https://www.quebec.ca/en/copyright,2026-06-12T18:41:26+00:00,c23a08cb50d9647f8f62,2026-06-19,curated_for_directory_milestone,Healthcare access: How to get a consultation: primary care health and social services.,,,,,,Healthcare access: How to get a consultation: primary care health and social services.,partial,2026-06-21T01:44:45+00:00,49e70e8b8b8a63a258895ee3771080f29a53c01830f3096f056c6bcc5d248266
candidate-c95257bebacecf80e07d,I need help now,mental_health,Mental health and wellbeing,Mental health and wellbeing: I need help now.,"McGill newcomer, international, exchange, and current students as applicable.",I need help now,Review the official McGill University source page for I need help now.,This record is not medical or crisis advice; for urgent safety concerns call 911 or use official urgent-support resources.,https://www.mcgill.ca/wellness-hub/,Student Wellness Hub - McGill University,McGill University,https://www.mcgill.ca/copyright/,2026-06-12T18:02:00+00:00,c95257bebacecf80e07d,2026-06-19,curated_for_directory_milestone,Get Support Physical Health Support Mental Health Support Nutritional Support Supporting Someone Else Telehealth Find Community Resources Resources Available 24/7 Gender Affirming Care,Build Your Wellness Toolkit Visit the Healthy Living Annex Animal Therapy Art Hive Hub Peer Supporters Supporting Student Caregivers,,Build Your Wellness Toolkit Visit the Healthy Living Annex Animal Therapy Art Hive Hub Peer Supporters Supporting Student Caregivers | Visit the Healthy Living Annex Animal Therapy Art Hive Hub Peer Supporters Supporting Student Caregivers,Contact Us Online Booking Hub Policies Clinician Transfer Requests Submit Feedback | Online Booking Hub Policies Clinician Transfer Requests Submit Feedback,,Get Support Physical Health Support Mental Health Support Nutritional Support Supporting Someone Else Telehealth Find Community Resources Resources Available 24/7 Gender Affirming Care,enriched,2026-06-21T01:44:46+00:00,5d944c32a9c9bf388a08a7d6cbb7b24ff9b040b518cdfa5515a46cc7eaed6db1
